report_section,report_title,segment,customers,segment_revenue,revenue_share_pct,customer_share_pct,email_contactable_customers,sms_contactable_customers
2.3,WHICH CUSTOMER SEGMENTS DRIVE VALUE AND REMAIN CONTACTABLE?,Core / steady,2144,168046.71,37.6,45.3,1928,1181
2.3,WHICH CUSTOMER SEGMENTS DRIVE VALUE AND REMAIN CONTACTABLE?,Champions,643,116554.48,26.1,13.6,581,378
2.3,WHICH CUSTOMER SEGMENTS DRIVE VALUE AND REMAIN CONTACTABLE?,"At risk, high value",415,71259.78,15.9,8.8,377,239
2.3,WHICH CUSTOMER SEGMENTS DRIVE VALUE AND REMAIN CONTACTABLE?,"Lapsed, low value",881,52941.46,11.8,18.6,753,455
2.3,WHICH CUSTOMER SEGMENTS DRIVE VALUE AND REMAIN CONTACTABLE?,"Recent, low frequency",652,38428.03,8.6,13.8,578,353
